Medidas,Largo,Ancho,Alto,Grosor,Codigo_Grosor,Litros,Precio,Ratio_Seguridad,Deflexion,Grosor_Original,Ajustado
190x70x50,190,70,50,10mm,3,665,515.51,4.15,0.06,10mm,No
190x70x60,190,70,60,15mm,5,798,1199.52,5.41,0.03,12mm,Si
190x70x70,190,70,70,19mm,6,931,2099.14,5.46,0.02,12mm,Si
200x50x60,200,50,60,15mm,5,600,1088.55,5.41,0.03,15mm,No
200x50x70,200,50,70,19mm,6,700,1912.53,5.46,0.02,15mm,Si
200x60x60,200,60,60,15mm,5,720,1168.69,5.41,0.03,12mm,Si
200x60x70,200,60,70,19mm,6,840,2048.93,5.46,0.02,12mm,Si
200x70x60,200,70,60,15mm,5,840,1248.82,5.41,0.03,12mm,Si
200x70x70,200,70,70,19mm,6,980,2185.33,5.46,0.02,12mm,Si
210x50x60,210,50,60,15mm,5,630,1133.11,5.41,0.03,15mm,No
210x50x70,210,50,70,19mm,6,735,1990.99,5.46,0.02,15mm,Si
210x60x60,210,60,60,15mm,5,756,1215.61,5.41,0.03,12mm,Si
210x60x70,210,60,70,19mm,6,882,2131.26,5.46,0.02,12mm,Si
210x70x60,210,70,60,15mm,5,882,1298.12,5.41,0.03,12mm,Si
210x70x70,210,70,70,19mm,6,1029,2271.52,5.46,0.02,12mm,Si
220x50x60,220,50,60,15mm,5,660,1177.67,5.41,0.03,15mm,No
220x50x70,220,50,70,19mm,6,770,2069.46,5.46,0.02,15mm,Si
220x60x60,220,60,60,15mm,5,792,1262.54,5.41,0.03,12mm,Si
220x60x70,220,60,70,19mm,6,924,2213.58,5.46,0.02,12mm,Si
220x70x60,220,70,60,15mm,5,924,1347.42,5.41,0.03,12mm,Si
220x70x70,220,70,70,19mm,6,1078,2357.71,5.46,0.02,12mm,Si
230x50x60,230,50,60,15mm,5,690,1222.23,5.41,0.03,15mm,No
230x50x70,230,50,70,19mm,6,805,2147.92,5.46,0.02,15mm,Si
230x60x60,230,60,60,15mm,5,828,1309.47,5.41,0.03,12mm,Si
230x60x70,230,60,70,19mm,6,966,2295.91,5.46,0.02,12mm,Si
230x70x60,230,70,60,15mm,5,966,1396.72,5.41,0.03,12mm,Si
230x70x70,230,70,70,19mm,6,1127,2443.9,5.46,0.02,12mm,Si
240x50x60,240,50,60,15mm,5,720,1266.78,5.41,0.03,15mm,No
240x50x70,240,50,70,19mm,6,840,2226.39,5.46,0.02,15mm,Si
240x60x60,240,60,60,15mm,5,864,1356.4,5.41,0.03,12mm,Si
240x60x70,240,60,70,19mm,6,1008,2378.24,5.46,0.02,12mm,Si
240x70x60,240,70,60,15mm,5,1008,1446.02,5.41,0.03,12mm,Si
240x70x70,240,70,70,19mm,6,1176,2530.09,5.46,0.02,12mm,Si
250x50x60,250,50,60,19mm,6,750,2066.34,8.67,0.01,19mm,No
250x50x70,250,50,70,19mm,6,875,2304.86,5.46,0.02,19mm,No
250x60x60,250,60,60,15mm,5,900,1403.33,5.41,0.03,12mm,Si
250x60x70,250,60,70,19mm,6,1050,2460.57,5.46,0.02,12mm,Si
250x70x60,250,70,60,15mm,5,1050,1495.32,5.41,0.03,12mm,Si
250x70x70,250,70,70,19mm,6,1225,2616.28,5.46,0.02,12mm,Si
260x50x60,260,50,60,19mm,6,780,2137.08,8.67,0.01,19mm,No
260x50x70,260,50,70,19mm,6,910,2383.32,5.46,0.02,19mm,No
260x60x60,260,60,60,15mm,5,936,1450.26,5.41,0.03,12mm,Si
260x60x70,260,60,70,19mm,6,1092,2542.9,5.46,0.02,12mm,Si
260x70x60,260,70,60,15mm,5,1092,1544.62,5.41,0.03,12mm,Si
260x70x70,260,70,70,19mm,6,1274,2702.47,5.46,0.02,12mm,Si
270x50x60,270,50,60,19mm,6,810,2207.82,8.67,0.01,19mm,No
270x50x70,270,50,70,19mm,6,945,2461.79,5.46,0.02,19mm,No
270x60x60,270,60,60,15mm,5,972,1497.19,5.41,0.03,12mm,Si
270x60x70,270,60,70,19mm,6,1134,2625.23,5.46,0.02,12mm,Si
270x70x60,270,70,60,15mm,5,1134,1593.92,5.41,0.03,12mm,Si
270x70x70,270,70,70,19mm,6,1323,2788.66,5.46,0.02,12mm,Si
280x50x60,280,50,60,19mm,6,840,2278.57,8.67,0.01,19mm,No
280x50x70,280,50,70,19mm,6,980,2540.25,5.46,0.02,19mm,No
280x60x60,280,60,60,15mm,5,1008,1544.11,5.41,0.03,12mm,Si
280x60x70,280,60,70,19mm,6,1176,2707.55,5.46,0.02,12mm,Si
280x70x60,280,70,60,15mm,5,1176,1643.22,5.41,0.03,12mm,Si
280x70x70,280,70,70,19mm,6,1372,2874.85,5.46,0.02,12mm,Si
290x50x60,290,50,60,19mm,6,870,2349.31,8.67,0.01,19mm,No
290x50x70,290,50,70,19mm,6,1015,2618.72,5.46,0.02,19mm,No
290x60x60,290,60,60,15mm,5,1044,1591.04,5.41,0.03,12mm,Si
290x60x70,290,60,70,19mm,6,1218,2789.88,5.46,0.02,12mm,Si
290x70x60,290,70,60,15mm,5,1218,1692.52,5.41,0.03,12mm,Si
290x70x70,290,70,70,19mm,6,1421,2961.04,5.46,0.02,12mm,Si
300x50x60,300,50,60,19mm,6,900,2420.05,8.67,0.01,19mm,No
300x50x70,300,50,70,19mm,6,1050,2697.19,5.46,0.02,19mm,No
300x60x60,300,60,60,15mm,5,1080,1637.97,5.41,0.03,12mm,Si
300x60x70,300,60,70,19mm,6,1260,2872.21,5.46,0.02,12mm,Si
300x70x60,300,70,60,15mm,5,1260,1741.82,5.41,0.03,12mm,Si
300x70x70,300,70,70,19mm,6,1470,3047.23,5.46,0.02,12mm,Si
